Midtown ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Address,Date Added,Floor,SF, Asking Rent ,Space Use,Type,Sub-LL,Occupany,Term,Leasing Company,Agent,Agent email,Class,Submarket Cluster,Submarket Notes,Email Sent,Notes
509 Fifth Avenue,06/16/2025,Entire 7th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 8th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 9th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 10th,"4,500", $ 59.00 ,Off/Med,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 11th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 12th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
535 Madison Avenue - The Art of American Building,06/17/2025,Entire 31st,"14,765", Withheld ,Office,Sublet,,30 Days,Thru Dec 2028,Cushman & Wakefield,Ethan Silverstein,ethan.silverstein@cushwak,A,Midtown,Plaza District,,
1633 Broadway,06/17/2025,Partial 19th,"50,891", $ 65.00 ,Office,Sublet,,Vacant,Thru Mar 2037,Cushman & Wakefield,Anthony LoPresti,anthony.lopresti@cushwak,A,Midtown,Columbus Circle,,
485 Lexington Avenue,06/17/2025,Partial 4th,"14,904", $ 45.00 ,Office,Sublet,,Vacant,Thru Mar 2028,Cushman & Wakefield,Daniel Organ,Daniel.Organ@cushwake.com,A,Midtown,Grand Central,,
9 E 40th Street,06/17/2025,Entire 8th,"5,400", $ 55.00 ,Office,Direct,,Vacant,Negotiable,Platinum Properties ,Steven Evans,sevans@platinumpropertiesn,B,Midtown,Grand Central,,
20-28 W 33rd Street,06/17/2025,Partial 6th,"8,131", $ 40.00 ,Office,Direct,,Vacant,Negotiable,Rudder Property Gro,Justin Harris,jharris@rudderpg.com,C,Midtown,Penn Plaza/Garment,,
900 Third Avenue,06/18/2025,Partial 5th,"13,508", Withheld ,Office,Direct,,Nov 2025,Negotiable,Cushman & Wakefield,Bruce E. Mosler,bruce.mosler@cushwake.com,A,Midtown,Plaza District,,
500 Fifth Avenue,06/18/2025,Entire 26th,"11,704", $ 92.00 ,Office,Direct,,Vacant,Negotiable,Cushman & Wakefield,Harry F. Blair,"harry.blair@cushwake.com",A,Midtown,Times Square,,
500 Fifth Avenue,06/18/2025,Entire 29th,"11,095", Withheld ,Office,Direct,,Vacant,Negotiable,Cushman & Wakefield,Harry F. Blair,"harry.blair@cushwake.com",A,Midtown,Times Square,,
777 Third Avenue,06/18/2025,Entire 11th,"24,710", Withheld ,Office,Direct,,Jul 2026,Negotiable,Sage Realty Corpo,Michael Lenchner,mlenchner@sagerealty.com,A,Midtown,Plaza District,,
777 Third Avenue,06/18/2025,Entire 12th,"24,710", Withheld ,Office,Direct,,Jul 2026,Negotiable,Sage Realty Corpo,Michael Lenchner,mlenchner@sagerealty.com,A,Midtown,Plaza District,,
200 Park Avenue - MetLife Building,06/18/2025,Partial 16th,"36,184", $ 118.00 ,Office,Sublet,,Jan 2026,Thru Aug 2036,CBRE,David Kleinhandler,David.Kleinhandler@cbre.co,A,Midtown,Grand Central,,
